player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Enzo Fernández,MF,Argentina,21.92,6.3,0,1,7,6,39,1,7,81.7,87.5,533,South America,final o tercer puesto,si
Eray Cömert,DF,Switzerland,24.87,0.5,0,1,3,1,4,0,2,12.8,90.5,50,Europe,octavos de final,si
Eric Dier,DF,England,28.92,0.4,0,0,1,0,3,0,2,8,97.6,44,Europe,cuartos de final,no
Eric Maxim Choupo-Moting,FW,Cameroon,33.74,2.8,0,0,0,1,8,1,3,93.7,66.7,87,Africa,fase de grupos,no
Erick Gutiérrez,MF,Mexico,27.51,0.5,0,1,2,3,3,0,1,18.1,82.8,34,North America,fase de grupos,si
Ethan Ampadu,MF,Wales,22.26,2.8,0,0,5,3,16,0,3,94.4,75,178,Europe,fase de grupos,no
Everton Ribeiro,MF,Brazil,33.69,0.4,0,0,0,0,0,0,1,7.5,83.3,21,South America,cuartos de final,no
Exequiel Palacios,MF,Argentina,24.2,0.6,0,0,2,3,6,0,3,7.2,89.3,34,South America,final o tercer puesto,no
Fabian Frei,MF,Switzerland,33.94,0.3,0,0,1,0,2,0,2,6.9,64.3,16,Europe,octavos de final,no
Fabian Rieder,FW,Switzerland,20.84,0.8,0,1,4,2,4,0,2,18.9,50,32,Europe,octavos de final,si
Fabian Schär,DF,Switzerland,30.99,1.5,0,2,1,2,7,0,2,37.5,79.3,100,Europe,octavos de final,si
Fabinho,MF,Brazil,29.15,1,0,0,2,0,9,0,1,18.8,89.5,63,South America,cuartos de final,no
Facundo Pellistri,MF,Uruguay,20.99,2,0,0,2,2,9,0,3,67,69.6,66,South America,fase de grupos,no
Famara Diedhiou,FW,Senegal,30.01,1,0,0,2,2,3,1,2,25.6,71.4,24,Africa,octavos de final,no
Federico Valverde,MF,Uruguay,24.41,3,0,0,6,2,19,0,3,100,84.1,225,South America,fase de grupos,no
Ferjani Sassi,MF,Tunisia,30.75,0.5,0,1,1,1,5,0,2,17.8,73.5,39,Africa,fase de grupos,si
Ferrán Torres,FW,Spain,22.8,2.4,0,0,1,5,8,2,4,55.6,69.4,115,Europe,octavos de final,no
Filip Kostić,DF,Serbia,30.13,2,0,0,3,1,12,0,2,66.3,63.7,130,Europe,fase de grupos,no
Filip Mladenović,DF,Serbia,31.34,0.7,0,0,0,0,4,0,1,24.1,80,29,Europe,fase de grupos,no
